dist, pot
1.724, 1.166
1.722, 1.166
1.703, 1.166
1.703, 1.166
1.703, 1.166
1.703, 1.166
1.715, 1.166
1.733, 1.166
1.733, 1.166
1.744, 1.166
1.744, 1.166
1.738, 1.167
1.739, 1.166
1.81, 1.166
1.814, 1.167
1.814, 1.167
1.722, 1.167
1.722, 1.166
1.72, 1.166
1.766, 1.166
1.766, 1.166
1.774, 1.167
1.774, 1.166
1.78, 1.166
1.7650000000000001, 1.166
1.758, 1.166
1.7610000000000001, 1.166
1.7610000000000001, 1.166
1.739, 1.166
1.741, 1.166
1.742, 1.166
1.742, 1.166
1.732, 1.167
1.735, 1.167
1.735, 1.167
1.7750000000000001, 1.167
1.7810000000000001, 1.166
1.7810000000000001, 1.166
1.786, 1.166
1.7750000000000001, 1.166
1.7750000000000001, 1.164
1.78, 1.164
1.7750000000000001, 1.166
1.7750000000000001, 1.167
1.778, 1.166
1.778, 1.166
1.76, 1.166
1.768, 1.166
1.768, 1.166
1.7570000000000001, 1.166
1.758, 1.166
1.758, 1.166
1.742, 1.166
1.742, 1.166
1.77, 1.166
1.7810000000000001, 1.167
1.7810000000000001, 1.166
1.7750000000000001, 1.166
1.7750000000000001, 1.166
1.7750000000000001, 1.166
1.76, 1.166
1.76, 1.167
1.742, 1.167
1.75, 1.166
1.75, 1.166
1.739, 1.167
1.739, 1.166
1.738, 1.166
1.804, 1.166
1.804, 1.166
1.758, 1.166
1.7610000000000001, 1.166
1.7610000000000001, 1.166
1.819, 1.166
1.819, 1.166
1.811, 1.166
1.811, 1.167
1.7610000000000001, 1.167
1.7610000000000001, 1.166
1.7570000000000001, 1.166
1.7690000000000001, 1.166
1.7690000000000001, 1.166
1.7590000000000001, 1.166
1.7590000000000001, 1.166
1.758, 1.166
1.804, 1.166
1.804, 1.166
1.758, 1.166
1.7610000000000001, 1.167
1.82, 1.166
1.82, 1.167
1.8, 1.167
1.796, 1.166
1.796, 1.166
1.811, 1.166
1.813, 1.166
1.813, 1.166
1.7610000000000001, 1.167
1.7610000000000001, 1.166
1.786, 1.166
1.803, 1.166
1.803, 1.166
1.793, 1.166
1.793, 1.166
1.793, 1.166
1.802, 1.166
1.802, 1.166
1.816, 1.166
1.824, 1.166
1.824, 1.166
1.794, 1.167
1.794, 1.166
1.793, 1.166
1.76, 1.166
1.76, 1.166
1.772, 1.166
1.772, 1.166
1.7850000000000001, 1.166
1.793, 1.166
1.793, 1.166
1.793, 1.166
1.7830000000000001, 1.166
1.7830000000000001, 1.167
1.776, 1.166
1.7770000000000001, 1.166
1.7810000000000001, 1.166
1.7750000000000001, 1.166
1.7750000000000001, 1.166
1.798, 1.167
1.798, 1.166
1.7750000000000001, 1.166
1.7850000000000001, 1.166
1.7850000000000001, 1.166
1.797, 1.166
1.797, 1.166
1.793, 1.166
